algorithm,N,M,adjust_sample_adaptive,compute_cost_matrix,get_accum_cost_and_steps,retrieve_path,adjust_sample
DTW1,1000,2000,2.1457672119140625e-06,0.021235942840576172,0.040662288665771484,4.887580871582031e-05,7.152557373046875e-07
DTW1,1000,2000,1.9073486328125e-06,0.018695592880249023,0.03887319564819336,4.506111145019531e-05,9.5367431640625e-07
DTW1,1000,2000,2.384185791015625e-06,0.02182769775390625,0.04127168655395508,4.506111145019531e-05,7.152557373046875e-07
DTW1,1000,2000,2.1457672119140625e-06,0.021334409713745117,0.04050898551940918,4.601478576660156e-05,7.152557373046875e-07
DTW1,1000,2000,2.1457672119140625e-06,0.021335601806640625,0.04040074348449707,4.458427429199219e-05,9.5367431640625e-07
DTW1,1000,2000,2.384185791015625e-06,0.020903348922729492,0.04051709175109863,4.3392181396484375e-05,7.152557373046875e-07
DTW1,1000,2000,2.384185791015625e-06,0.02103900909423828,0.04120373725891113,6.532669067382812e-05,1.1920928955078125e-06
DTW1,1000,2000,2.6226043701171875e-06,0.020975828170776367,0.040615081787109375,5.0067901611328125e-05,9.5367431640625e-07
DTW1,1000,2000,2.384185791015625e-06,0.021177053451538086,0.0403437614440918,4.4345855712890625e-05,7.152557373046875e-07
DTW1,1000,2000,2.6226043701171875e-06,0.020923614501953125,0.04039883613586426,4.410743713378906e-05,7.152557373046875e-07
DTW1,1000,4000,2.384185791015625e-06,0.04174470901489258,0.08022379875183105,5.2928924560546875e-05,9.5367431640625e-07
DTW1,1000,4000,2.384185791015625e-06,0.03736710548400879,0.07616853713989258,4.7206878662109375e-05,7.152557373046875e-07
DTW1,1000,4000,2.6226043701171875e-06,0.04204702377319336,0.08093976974487305,5.4836273193359375e-05,7.152557373046875e-07
DTW1,1000,4000,2.86102294921875e-06,0.037247419357299805,0.06824350357055664,4.76837158203125e-05,9.5367431640625e-07
DTW1,1000,4000,2.86102294921875e-06,0.04202556610107422,0.07996606826782227,4.744529724121094e-05,1.1920928955078125e-06
DTW1,1000,4000,1.9073486328125e-06,0.03719735145568848,0.06980085372924805,0.0001220703125,2.1457672119140625e-06
DTW1,1000,4000,2.86102294921875e-06,0.041996002197265625,0.0811002254486084,4.9591064453125e-05,9.5367431640625e-07
DTW1,1000,4000,2.384185791015625e-06,0.0372161865234375,0.06839203834533691,4.8160552978515625e-05,9.5367431640625e-07
DTW1,1000,4000,2.86102294921875e-06,0.04151153564453125,0.08052802085876465,4.9114227294921875e-05,9.5367431640625e-07
DTW1,1000,4000,2.384185791015625e-06,0.03722882270812988,0.06821036338806152,4.7206878662109375e-05,9.5367431640625e-07
DTW1,3000,3000,2.6226043701171875e-06,0.09335875511169434,0.17940616607666016,0.0003845691680908203,1.6689300537109375e-06
DTW1,3000,3000,2.1457672119140625e-06,0.08430242538452148,0.17879533767700195,0.00037097930908203125,1.430511474609375e-06
DTW1,3000,3000,2.1457672119140625e-06,0.08479571342468262,0.17897391319274902,0.00037169456481933594,9.5367431640625e-07
DTW1,3000,3000,2.1457672119140625e-06,0.08586478233337402,0.1797020435333252,0.0004017353057861328,9.5367431640625e-07
DTW1,3000,3000,1.9073486328125e-06,0.08423376083374023,0.18120980262756348,0.00038051605224609375,9.5367431640625e-07
DTW1,3000,3000,2.384185791015625e-06,0.08453369140625,0.18049240112304688,0.0012292861938476562,2.6226043701171875e-06
DTW1,3000,3000,2.1457672119140625e-06,0.0850515365600586,0.17967677116394043,0.0004038810729980469,1.1920928955078125e-06
DTW1,3000,3000,2.1457672119140625e-06,0.0842280387878418,0.17916369438171387,0.0003857612609863281,9.5367431640625e-07
DTW1,3000,3000,2.6226043701171875e-06,0.08579087257385254,0.1790933609008789,0.0003771781921386719,1.1920928955078125e-06
DTW1,3000,3000,2.6226043701171875e-06,0.08416748046875,0.18064427375793457,0.00041556358337402344,1.430511474609375e-06
DTW1,3000,6000,2.1457672119140625e-06,0.17824959754943848,0.35930919647216797,6.008148193359375e-05,9.5367431640625e-07
DTW1,3000,6000,2.384185791015625e-06,0.17592430114746094,0.3582167625427246,6.031990051269531e-05,1.1920928955078125e-06
DTW1,3000,6000,2.6226043701171875e-06,0.1859900951385498,0.35903453826904297,9.775161743164062e-05,1.9073486328125e-06
DTW1,3000,6000,2.86102294921875e-06,0.17723536491394043,0.35872554779052734,5.8650970458984375e-05,7.152557373046875e-07
DTW1,3000,6000,3.0994415283203125e-06,0.18552851676940918,0.35881614685058594,6.031990051269531e-05,9.5367431640625e-07
DTW1,3000,6000,2.6226043701171875e-06,0.18574166297912598,0.36069607734680176,5.91278076171875e-05,9.5367431640625e-07
DTW1,3000,6000,2.6226043701171875e-06,0.17597270011901855,0.3579277992248535,5.8650970458984375e-05,1.430511474609375e-06
DTW1,3000,6000,2.86102294921875e-06,0.17607378959655762,0.3595294952392578,0.00010657310485839844,1.430511474609375e-06
DTW1,3000,6000,2.384185791015625e-06,0.1854078769683838,0.35871315002441406,5.936622619628906e-05,1.1920928955078125e-06
DTW1,3000,6000,2.384185791015625e-06,0.1851787567138672,0.35906314849853516,6.103515625e-05,9.5367431640625e-07
DTW1,3000,12000,6.9141387939453125e-06,0.3703267574310303,0.7158496379852295,6.67572021484375e-05,9.5367431640625e-07
DTW1,3000,12000,2.6226043701171875e-06,0.3723905086517334,0.7189552783966064,0.00011301040649414062,1.6689300537109375e-06
DTW1,3000,12000,2.6226043701171875e-06,0.371997594833374,0.7150993347167969,8.535385131835938e-05,9.5367431640625e-07
DTW1,3000,12000,2.6226043701171875e-06,0.3697395324707031,0.7161240577697754,6.723403930664062e-05,1.1920928955078125e-06
DTW1,3000,12000,2.6226043701171875e-06,0.37090611457824707,0.7188131809234619,6.67572021484375e-05,9.5367431640625e-07
DTW1,3000,12000,2.6226043701171875e-06,0.37152743339538574,0.7173833847045898,6.771087646484375e-05,9.5367431640625e-07
DTW1,3000,12000,2.86102294921875e-06,0.3714437484741211,0.7161052227020264,6.723403930664062e-05,9.5367431640625e-07
DTW1,3000,12000,2.384185791015625e-06,0.37174105644226074,0.7162387371063232,6.866455078125e-05,9.5367431640625e-07
DTW1,3000,12000,2.384185791015625e-06,0.37246155738830566,0.7178447246551514,8.821487426757812e-05,9.5367431640625e-07
DTW1,3000,12000,5.7220458984375e-06,0.37043190002441406,0.7157132625579834,6.747245788574219e-05,1.1920928955078125e-06
DTW1,10000,10000,2.6226043701171875e-06,1.0468144416809082,1.9860563278198242,0.0017290115356445312,2.1457672119140625e-06
DTW1,10000,10000,2.1457672119140625e-06,1.0172584056854248,1.9866783618927002,0.001649618148803711,1.9073486328125e-06
DTW1,10000,10000,2.86102294921875e-06,1.0179636478424072,1.9911203384399414,0.0016093254089355469,1.430511474609375e-06
DTW1,10000,10000,5.4836273193359375e-06,1.0487611293792725,1.991124153137207,0.0015981197357177734,1.1920928955078125e-06
DTW1,10000,10000,2.86102294921875e-06,1.0189673900604248,1.9937071800231934,0.001669168472290039,2.86102294921875e-06
DTW1,10000,10000,2.6226043701171875e-06,1.0177621841430664,1.9897196292877197,0.0016052722930908203,1.9073486328125e-06
DTW1,10000,10000,2.6226043701171875e-06,1.0518252849578857,1.9881203174591064,0.0016512870788574219,2.384185791015625e-06
DTW1,10000,10000,4.76837158203125e-06,1.0186827182769775,1.9912488460540771,0.0016491413116455078,1.6689300537109375e-06
DTW1,10000,10000,2.86102294921875e-06,1.0179619789123535,1.9874110221862793,0.001674652099609375,2.1457672119140625e-06
DTW1,10000,10000,2.86102294921875e-06,1.0453615188598633,1.989928960800171,0.001611948013305664,1.1920928955078125e-06
DTW1,10000,20000,3.337860107421875e-06,2.042414903640747,3.9781689643859863,8.511543273925781e-05,9.5367431640625e-07
DTW1,10000,20000,2.86102294921875e-06,2.094385862350464,3.9737606048583984,8.559226989746094e-05,7.152557373046875e-07
DTW1,10000,20000,4.291534423828125e-06,2.093787670135498,3.9780139923095703,8.702278137207031e-05,9.5367431640625e-07
DTW1,10000,20000,2.86102294921875e-06,2.037273406982422,3.971754550933838,8.606910705566406e-05,1.9073486328125e-06
DTW1,10000,20000,3.337860107421875e-06,2.032444715499878,3.9746177196502686,0.00010323524475097656,1.9073486328125e-06
DTW1,10000,20000,4.0531158447265625e-06,2.0926506519317627,3.980051279067993,0.0001595020294189453,1.9073486328125e-06
DTW1,10000,20000,2.6226043701171875e-06,2.091463327407837,4.073092937469482,8.869171142578125e-05,1.9073486328125e-06
DTW1,10000,20000,6.4373016357421875e-06,2.04622220993042,4.0100507736206055,8.630752563476562e-05,1.430511474609375e-06
DTW1,10000,20000,2.384185791015625e-06,2.0387701988220215,4.006122350692749,8.797645568847656e-05,9.5367431640625e-07
DTW1,10000,20000,3.5762786865234375e-06,2.096947431564331,4.013448476791382,0.00011515617370605469,1.1920928955078125e-06
DTW1,10000,40000,3.337860107421875e-06,4.080479621887207,8.019552230834961,0.0002257823944091797,2.1457672119140625e-06
DTW1,10000,40000,5.0067901611328125e-06,4.079445838928223,7.997915744781494,0.00010991096496582031,9.5367431640625e-07
DTW1,10000,40000,3.5762786865234375e-06,4.075063705444336,8.001678705215454,0.000133514404296875,1.1920928955078125e-06
DTW1,10000,40000,4.291534423828125e-06,4.197535037994385,8.009620666503906,0.00025010108947753906,1.9073486328125e-06
DTW1,10000,40000,7.3909759521484375e-06,4.0768208503723145,8.014827013015747,0.00010967254638671875,1.1920928955078125e-06
DTW1,10000,40000,3.5762786865234375e-06,4.199005365371704,8.031431436538696,0.0002422332763671875,2.1457672119140625e-06
DTW1,10000,40000,5.4836273193359375e-06,4.08416223526001,8.011403322219849,0.00023603439331054688,1.9073486328125e-06
DTW1,10000,40000,5.245208740234375e-06,4.198379755020142,8.00552749633789,0.00023412704467773438,1.430511474609375e-06
DTW1,10000,40000,5.0067901611328125e-06,4.074166536331177,8.017455101013184,0.0002353191375732422,2.1457672119140625e-06
DTW1,10000,40000,5.4836273193359375e-06,4.195007562637329,8.00070571899414,0.0002548694610595703,1.9073486328125e-06
DTW1,30000,30000,7.867813110351562e-06,9.177547693252563,18.098413944244385,0.006652116775512695,1.9073486328125e-06
DTW1,30000,30000,5.0067901611328125e-06,9.436381101608276,18.096893072128296,0.006211042404174805,3.337860107421875e-06
DTW1,30000,30000,5.4836273193359375e-06,9.182806253433228,18.093002319335938,0.01575303077697754,2.6226043701171875e-06
DTW1,30000,30000,5.245208740234375e-06,9.448071956634521,18.090077877044678,0.006201267242431641,2.1457672119140625e-06
DTW1,30000,30000,5.0067901611328125e-06,9.18974256515503,18.097293615341187,0.015230417251586914,2.384185791015625e-06
DTW1,30000,30000,4.5299530029296875e-06,9.175471782684326,18.091010093688965,0.006226062774658203,2.384185791015625e-06
DTW1,30000,30000,5.245208740234375e-06,9.453007221221924,18.10351800918579,0.015018463134765625,1.9073486328125e-06
DTW1,30000,30000,5.7220458984375e-06,9.182517290115356,18.092725038528442,0.0060846805572509766,2.1457672119140625e-06
DTW1,30000,30000,5.4836273193359375e-06,9.196428775787354,18.101065158843994,0.015209436416625977,2.6226043701171875e-06
DTW1,30000,30000,5.245208740234375e-06,9.436704397201538,18.094146728515625,0.01574563980102539,2.1457672119140625e-06
DTW1,30000,60000,5.245208740234375e-06,18.42493510246277,36.189558267593384,0.00020933151245117188,1.6689300537109375e-06
DTW1,30000,60000,5.4836273193359375e-06,18.884557008743286,36.17556166648865,0.0003731250762939453,1.6689300537109375e-06
DTW1,30000,60000,6.9141387939453125e-06,18.878204822540283,36.183337688446045,0.00018143653869628906,1.9073486328125e-06
DTW1,30000,60000,5.9604644775390625e-06,18.375990867614746,36.163830280303955,0.00018024444580078125,9.5367431640625e-07
DTW1,30000,60000,7.3909759521484375e-06,18.417709827423096,36.178523540496826,0.00021719932556152344,2.1457672119140625e-06
DTW1,30000,60000,5.9604644775390625e-06,18.894776582717896,36.16904139518738,0.00037741661071777344,1.6689300537109375e-06
DTW1,30000,60000,7.3909759521484375e-06,18.88607096672058,36.17923927307129,0.0001819133758544922,1.9073486328125e-06
DTW1,30000,60000,5.4836273193359375e-06,18.34859323501587,36.16683578491211,0.00018143653869628906,1.1920928955078125e-06
DTW1,30000,60000,5.0067901611328125e-06,18.389688730239868,36.15270376205444,0.00020766258239746094,1.9073486328125e-06
DTW1,30000,60000,5.7220458984375e-06,18.88153314590454,36.169442653656006,0.00037217140197753906,2.384185791015625e-06
DTW1,30000,120000,7.3909759521484375e-06,36.689823150634766,77.53595900535583,0.0005915164947509766,4.76837158203125e-06
DTW1,30000,120000,7.3909759521484375e-06,36.61062240600586,75.17428493499756,0.0005643367767333984,1.430511474609375e-06
DTW1,30000,120000,6.67572021484375e-06,36.62244701385498,74.97377014160156,0.0002727508544921875,1.9073486328125e-06
DTW1,30000,120000,7.62939453125e-06,37.66822361946106,75.18329763412476,0.0005686283111572266,1.9073486328125e-06
DTW1,30000,120000,7.152557373046875e-06,36.63104438781738,75.17112231254578,0.00027370452880859375,1.430511474609375e-06
DTW1,30000,120000,8.106231689453125e-06,37.63881540298462,75.16075038909912,0.0005631446838378906,1.9073486328125e-06
DTW1,30000,120000,7.62939453125e-06,36.669230461120605,75.08734774589539,0.0002906322479248047,1.6689300537109375e-06
DTW1,30000,120000,6.67572021484375e-06,37.657081604003906,75.23049449920654,0.0005810260772705078,1.9073486328125e-06
DTW1,30000,120000,7.152557373046875e-06,36.622185468673706,75.22499990463257,0.0002751350402832031,1.6689300537109375e-06
DTW1,30000,120000,7.3909759521484375e-06,37.66797375679016,75.05872750282288,0.0005619525909423828,1.430511474609375e-06
DTW2,100,100,1.52587890625e-05,0.00035881996154785156,0.0006327629089355469,9.679794311523438e-05,1.6689300537109375e-06
DTW2,100,100,3.5762786865234375e-06,0.00031304359436035156,0.0004439353942871094,3.4332275390625e-05,1.1920928955078125e-06
DTW2,100,100,3.0994415283203125e-06,0.0003097057342529297,0.0004324913024902344,3.2901763916015625e-05,1.1920928955078125e-06
DTW2,100,100,3.0994415283203125e-06,0.0003070831298828125,0.00042700767517089844,3.0279159545898438e-05,1.1920928955078125e-06
DTW2,100,100,2.6226043701171875e-06,0.00030684471130371094,0.0004284381866455078,3.147125244140625e-05,9.5367431640625e-07
DTW2,100,100,2.384185791015625e-06,0.0003066062927246094,0.00042510032653808594,3.0040740966796875e-05,1.1920928955078125e-06
DTW2,100,100,2.86102294921875e-06,0.00032401084899902344,0.000431060791015625,3.170967102050781e-05,9.5367431640625e-07
DTW2,100,100,2.86102294921875e-06,0.0003056526184082031,0.000423431396484375,2.86102294921875e-05,1.1920928955078125e-06
DTW2,100,100,2.86102294921875e-06,0.00030493736267089844,0.00042557716369628906,2.9802322387695312e-05,1.1920928955078125e-06
DTW2,100,100,2.86102294921875e-06,0.0003056526184082031,0.00042247772216796875,2.9087066650390625e-05,1.1920928955078125e-06
DTW2,100,200,2.86102294921875e-06,0.000606536865234375,0.0003902912139892578,1.52587890625e-05,4.76837158203125e-07
DTW2,100,200,1.430511474609375e-06,0.00025200843811035156,0.00033283233642578125,1.3113021850585938e-05,4.76837158203125e-07
DTW2,100,200,1.430511474609375e-06,0.0002474784851074219,0.00034046173095703125,1.2636184692382812e-05,4.76837158203125e-07
DTW2,100,200,1.1920928955078125e-06,0.00024819374084472656,0.0003256797790527344,1.1682510375976562e-05,4.76837158203125e-07
DTW2,100,200,1.1920928955078125e-06,0.0002474784851074219,0.0003247261047363281,1.2159347534179688e-05,4.76837158203125e-07
DTW2,100,200,9.5367431640625e-07,0.0002512931823730469,0.0003333091735839844,1.2874603271484375e-05,4.76837158203125e-07
DTW2,100,200,1.1920928955078125e-06,0.00024771690368652344,0.00032520294189453125,1.2874603271484375e-05,4.76837158203125e-07
DTW2,100,200,1.1920928955078125e-06,0.00024700164794921875,0.0003235340118408203,1.2159347534179688e-05,4.76837158203125e-07
DTW2,100,200,1.1920928955078125e-06,0.0002467632293701172,0.00032401084899902344,1.2159347534179688e-05,4.76837158203125e-07
DTW2,100,200,1.1920928955078125e-06,0.0002510547637939453,0.0003247261047363281,1.1682510375976562e-05,4.76837158203125e-07
DTW2,100,400,1.1920928955078125e-06,0.00048542022705078125,0.0007846355438232422,1.811981201171875e-05,7.152557373046875e-07
DTW2,100,400,1.430511474609375e-06,0.0004940032958984375,0.0006706714630126953,1.52587890625e-05,9.5367431640625e-07
DTW2,100,400,1.6689300537109375e-06,0.00048661231994628906,0.0006482601165771484,1.621246337890625e-05,7.152557373046875e-07
DTW2,100,400,1.430511474609375e-06,0.0004863739013671875,0.0006504058837890625,1.5735626220703125e-05,7.152557373046875e-07
DTW2,100,400,1.6689300537109375e-06,0.0004892349243164062,0.0006556510925292969,1.7642974853515625e-05,7.152557373046875e-07
DTW2,100,400,1.430511474609375e-06,0.00048804283142089844,0.0006430149078369141,1.5974044799804688e-05,4.76837158203125e-07
DTW2,100,400,1.1920928955078125e-06,0.00048732757568359375,0.0006554126739501953,1.6689300537109375e-05,9.5367431640625e-07
DTW2,100,400,1.1920928955078125e-06,0.00048732757568359375,0.0006430149078369141,1.5497207641601562e-05,7.152557373046875e-07
DTW2,100,400,1.430511474609375e-06,0.0004868507385253906,0.0006418228149414062,1.6450881958007812e-05,7.152557373046875e-07
DTW2,100,400,1.430511474609375e-06,0.00048732757568359375,0.000640869140625,1.5735626220703125e-05,4.76837158203125e-07
DTW2,300,300,1.6689300537109375e-06,0.0010838508605957031,0.0017237663269042969,2.4080276489257812e-05,7.152557373046875e-07
DTW2,300,300,1.430511474609375e-06,0.0011048316955566406,0.0014233589172363281,2.3603439331054688e-05,4.76837158203125e-07
DTW2,300,300,1.1920928955078125e-06,0.0010826587677001953,0.0014147758483886719,2.4080276489257812e-05,4.76837158203125e-07
DTW2,300,300,1.430511474609375e-06,0.0010821819305419922,0.0014104843139648438,2.2411346435546875e-05,4.76837158203125e-07
DTW2,300,300,1.430511474609375e-06,0.0010912418365478516,0.0014197826385498047,2.4080276489257812e-05,7.152557373046875e-07
DTW2,300,300,1.430511474609375e-06,0.0010824203491210938,0.0014202594757080078,2.4080276489257812e-05,7.152557373046875e-07
DTW2,300,300,1.430511474609375e-06,0.0010838508605957031,0.0014104843139648438,2.384185791015625e-05,7.152557373046875e-07
DTW2,300,300,1.6689300537109375e-06,0.00109100341796875,0.0014085769653320312,2.288818359375e-05,7.152557373046875e-07
DTW2,300,300,1.1920928955078125e-06,0.0010986328125,0.0014269351959228516,2.4557113647460938e-05,7.152557373046875e-07
DTW2,300,300,1.430511474609375e-06,0.0010824203491210938,0.0014164447784423828,2.3603439331054688e-05,7.152557373046875e-07
DTW2,300,600,1.430511474609375e-06,0.002170085906982422,0.002978086471557617,1.8835067749023438e-05,7.152557373046875e-07
