,file,time_warp,steps,align_type,0,1,2,3,4,5,6
39,experiments_test_steps/train_toy.x1260.x1000.DTW_selectiveTransitions2,1.26,"[[0 1]
 [1 0]
 [1 1]]",DTW_selectiveTransitions2,2563,5416,8415,,,,
40,experiments_test_steps/train_toy.x1260.x0794.DTW_adaptiveWeight1,1.587,"[[0 1]
 [1 0]]",DTW_adaptiveWeight1,8716,13831,,,,,
41,experiments_test_steps/train_toy.x1260.x0794.DTW_adaptiveWeight1,1.587,"[[0 1]
 [1 0]]",DTW_adaptiveWeight1,8717,13829,,,,,
42,experiments_test_steps/train_toy.x1260.x0794.DTW_adaptiveWeight1,1.587,"[[0 1]
 [1 0]]",DTW_adaptiveWeight1,8716,13831,,,,,
43,experiments_test_steps/train_toy.x1260.x0794.DTW_adaptiveWeight1,1.587,"[[0 1]
 [1 0]]",DTW_adaptiveWeight1,8716,13832,,,,,
44,experiments_test_steps/train_toy.x1260.x0794.DTW_adaptiveWeight1,1.587,"[[0 1]
 [1 0]]",DTW_adaptiveWeight1,8716,13832,,,,,
45,experiments_test_steps/train_toy.x1260.x0794.DTW_adaptiveWeight1,1.587,"[[0 1]
 [1 0]]",DTW_adaptiveWeight1,8716,13832,,,,,
46,experiments_test_steps/train_toy.x1260.x0794.DTW_adaptiveWeight1,1.587,"[[0 1]
 [1 0]]",DTW_adaptiveWeight1,8716,13832,,,,,
47,experiments_test_steps/train_toy.x1260.x0794.DTW_adaptiveWeight1,1.587,"[[0 1]
 [1 0]]",DTW_adaptiveWeight1,8716,13831,,,,,
48,experiments_test_steps/train_toy.x1260.x0794.DTW_adaptiveWeight1,1.587,"[[0 1]
 [1 0]]",DTW_adaptiveWeight1,8716,13832,,,,,
49,experiments_test_steps/train_toy.x1260.x0794.DTW_adaptiveWeight1,1.587,"[[0 1]
 [1 0]]",DTW_adaptiveWeight1,8716,13830,,,,,
50,experiments_test_steps/train_toy.x1260.x0794.DTW_adaptiveWeight1,1.587,"[[0 1]
 [1 0]]",DTW_adaptiveWeight1,8717,13831,,,,,
51,experiments_test_steps/train_toy.x1260.x0794.DTW_adaptiveWeight1,1.587,"[[0 1]
 [1 0]]",DTW_adaptiveWeight1,8717,13831,,,,,
52,experiments_test_steps/train_toy.x1260.x0794.DTW_adaptiveWeight1,1.587,"[[0 1]
 [1 0]]",DTW_adaptiveWeight1,8717,13832,,,,,
53,experiments_test_steps/train_toy.x1260.x0794.DTW_adaptiveWeight1,1.587,"[[0 1]
 [1 0]]",DTW_adaptiveWeight1,8717,13832,,,,,
54,experiments_test_steps/train_toy.x1260.x0794.DTW_adaptiveWeight1,1.587,"[[0 1]
 [1 0]]",DTW_adaptiveWeight1,8716,13832,,,,,
55,experiments_test_steps/train_toy.x1260.x0794.DTW_adaptiveWeight1,1.587,"[[0 1]
 [1 0]]",DTW_adaptiveWeight1,8716,13831,,,,,
56,experiments_test_steps/train_toy.x1260.x0794.DTW_adaptiveWeight1,1.587,"[[0 1]
 [1 0]]",DTW_adaptiveWeight1,8716,13831,,,,,
57,experiments_test_steps/train_toy.x1260.x0794.DTW_adaptiveWeight1,1.587,"[[0 1]
 [1 0]]",DTW_adaptiveWeight1,8716,13832,,,,,
58,experiments_test_steps/train_toy.x1260.x0794.DTW_adaptiveWeight1,1.587,"[[0 1]
 [1 0]]",DTW_adaptiveWeight1,8716,13831,,,,,
59,experiments_test_steps/train_toy.x1260.x0794.DTW_adaptiveWeight1,1.587,"[[0 1]
 [1 0]]",DTW_adaptiveWeight1,8717,13831,,,,,
60,experiments_test_steps/train_toy.x2000.x0630.DTW1_add3,3.175,"[[1 1]
 [1 2]
 [2 1]
 [1 3]
 [3 1]]",DTW1_add3,0,0,0,0,0,,
61,experiments_test_steps/train_toy.x2000.x0630.DTW1_add3,3.175,"[[1 1]
 [1 2]
 [2 1]
 [1 3]
 [3 1]]",DTW1_add3,0,0,0,0,0,,
62,experiments_test_steps/train_toy.x2000.x0630.DTW1_add3,3.175,"[[1 1]
 [1 2]
 [2 1]
 [1 3]
 [3 1]]",DTW1_add3,0,0,0,0,0,,
63,experiments_test_steps/train_toy.x2000.x0630.DTW1_add3,3.175,"[[1 1]
 [1 2]
 [2 1]
 [1 3]
 [3 1]]",DTW1_add3,0,0,0,0,0,,
64,experiments_test_steps/train_toy.x2000.x0630.DTW1_add3,3.175,"[[1 1]
 [1 2]
 [2 1]
 [1 3]
 [3 1]]",DTW1_add3,0,0,0,0,0,,
65,experiments_test_steps/train_toy.x2000.x0630.DTW1_add3,3.175,"[[1 1]
 [1 2]
 [2 1]
 [1 3]
 [3 1]]",DTW1_add3,0,0,0,0,0,,
66,experiments_test_steps/train_toy.x2000.x0630.DTW1_add3,3.175,"[[1 1]
 [1 2]
 [2 1]
 [1 3]
 [3 1]]",DTW1_add3,0,0,0,0,0,,
67,experiments_test_steps/train_toy.x2000.x0630.DTW1_add3,3.175,"[[1 1]
 [1 2]
 [2 1]
 [1 3]
 [3 1]]",DTW1_add3,0,0,0,0,0,,
68,experiments_test_steps/train_toy.x2000.x0630.DTW1_add3,3.175,"[[1 1]
 [1 2]
 [2 1]
 [1 3]
 [3 1]]",DTW1_add3,0,0,0,0,0,,
69,experiments_test_steps/train_toy.x2000.x0630.DTW1_add3,3.175,"[[1 1]
 [1 2]
 [2 1]
 [1 3]
 [3 1]]",DTW1_add3,0,0,0,0,0,,
70,experiments_test_steps/train_toy.x2000.x0630.DTW1_add3,3.175,"[[1 1]
 [1 2]
 [2 1]
 [1 3]
 [3 1]]",DTW1_add3,0,0,0,0,0,,
71,experiments_test_steps/train_toy.x2000.x0630.DTW1_add3,3.175,"[[1 1]
 [1 2]
 [2 1]
 [1 3]
 [3 1]]",DTW1_add3,0,0,0,0,0,,
72,experiments_test_steps/train_toy.x2000.x0630.DTW1_add3,3.175,"[[1 1]
 [1 2]
 [2 1]
 [1 3]
 [3 1]]",DTW1_add3,0,0,0,0,0,,
73,experiments_test_steps/train_toy.x2000.x0630.DTW1_add3,3.175,"[[1 1]
 [1 2]
 [2 1]
 [1 3]
 [3 1]]",DTW1_add3,0,0,0,0,0,,
74,experiments_test_steps/train_toy.x2000.x0630.DTW1_add3,3.175,"[[1 1]
 [1 2]
 [2 1]
 [1 3]
 [3 1]]",DTW1_add3,0,0,0,0,0,,
