,time_warp,steps,align_type,0,1,2,3,4,5,6
42,2.0,"[[0, 1], [1, 0], [1, 1]]",DTW3,146092,320388,28234,0.0,0.0,0.0,0.0
43,4.0,"[[1, 1], [1, 2], [2, 1]]",DTW1_upsampleQuantized,30678,136125,136125,0.0,0.0,0.0,0.0
44,2.521,"[[0, 1], [1, 0], [1, 1]]",DTW_adaptiveWeight2,111580,321882,26740,0.0,0.0,0.0,0.0
45,3.175,"[[1, 1], [1, 2], [2, 1]]",DTW1_downsampleQuantized,17552,40256,40256,0.0,0.0,0.0,0.0
46,4.0,"[[0, 1], [1, 0], [1, 1]]",DTW_adaptiveWeight2,85378,414651,24402,0.0,0.0,0.0,0.0
47,3.175,"[[1, 1], [1, 2], [2, 1]]",DTW1_upsampleQuantized,32769,135428,135428,0.0,0.0,0.0,0.0
48,1.587,"[[1, 1], [1, 2], [2, 1]]",DTW1_downsampleInterpolate,20048,51426,51426,0.0,0.0,0.0,0.0
49,2.0,"[[1, 1], [1, 2], [2, 1], [1, 3], [3, 1]]",DTW1_add3,13247,5017,11569,13901.0,97773.0,0.0,0.0
50,2.0,"[[1, 1], [1, 2], [2, 1]]",DTW1_downsampleInterpolate,20006,51440,51440,0.0,0.0,0.0,0.0
51,2.0,"[[1, 1], [1, 2], [2, 1]]",DTW1,23,3,156865,0.0,0.0,0.0,0.0
52,3.175,"[[0, 1], [1, 0], [1, 1]]",DTW_adaptiveWeight2,110969,411702,27351,0.0,0.0,0.0,0.0
53,4.0,"[[0, 1], [1, 0]]",DTW_adaptiveWeight1,109780,439053,0.0,0.0,0.0,0.0,0.0
54,1.0,"[[1, 1], [1, 2], [2, 1]]",DTW1_downsampleQuantized,22670,65628,65628,0.0,0.0,0.0,0.0
55,2.0,"[[1, 1], [1, 2], [2, 1]]",DTW1_upsampleInterpolate,26251,107457,107457,0.0,0.0,0.0,0.0
56,3.175,"[[0, 1], [1, 0], [1, 1]]",DTW4,13995,314728,124325,0.0,0.0,0.0,0.0
57,3.175,"[[0, 1], [1, 0]]",DTW_adaptiveWeight1,138320,439053,0.0,0.0,0.0,0.0,0.0
58,1.26,"[[0, 1], [1, 0]]",DTW_adaptiveWeight1,219554,276626,0.0,0.0,0.0,0.0,0.0
59,1.0,"[[1, 1], [1, 2], [2, 1]]",DTW1,22664,65629,65632,0.0,0.0,0.0,0.0
60,1.587,"[[0, 1], [1, 0], [1, 1]]",DTW_selectiveTransitions5,89232,191532,85094,0.0,0.0,0.0,0.0
61,2.521,"[[0, 1], [1, 0]]",DTW5,138320,348622,0.0,0.0,0.0,0.0,0.0
62,1.0,"[[0, 1], [1, 0], [1, 1]]",DTW3,191710,191713,27844,0.0,0.0,0.0,0.0
63,1.0,"[[0, 1], [1, 0]]",DTW5,219554,219557,0.0,0.0,0.0,0.0,0.0
64,1.0,"[[1, 1], [1, 2], [2, 1]]",DTW1_upsampleQuantized,22664,65631,65631,0.0,0.0,0.0,0.0
65,3.175,"[[0, 1], [1, 0], [1, 1]]",DTW_selectiveTransitions4,19862,320595,118458,0.0,0.0,0.0,0.0
66,4.0,"[[0, 1], [1, 0], [1, 1]]",DTW3,86006,415279,23774,0.0,0.0,0.0,0.0
67,3.175,"[[0, 1], [1, 0]]",DTW5,138320,439053,0.0,0.0,0.0,0.0,0.0
68,4.0,"[[1, 1], [1, 2], [2, 1], [1, 3], [3, 1], [1, 4], [4, 1]]",DTW1_add4,0,0,4,0.0,59.0,0.0,109717.0
69,1.587,"[[0, 1], [1, 0], [1, 1]]",DTW_selectiveTransitions2,22631,124931,151695,0.0,0.0,0.0,0.0
70,1.26,"[[0, 1], [1, 0]]",DTW5,219554,276626,0.0,0.0,0.0,0.0,0.0
71,1.587,"[[1, 1], [1, 2], [2, 1]]",DTW1_downsampleQuantized,20000,51442,51442,0.0,0.0,0.0,0.0
72,1.0,"[[1, 1], [1, 2], [2, 1], [1, 3], [3, 1], [1, 4], [4, 1]]",DTW1_add4,16354,7788,7817,7500.0,7607.0,29956.0,29876.0
73,1.587,"[[1, 1], [1, 2], [2, 1]]",DTW1,13154,19624,121924,0.0,0.0,0.0,0.0
74,2.0,"[[0, 1], [1, 0], [1, 1]]",DTW4,25601,199897,148725,0.0,0.0,0.0,0.0
75,1.587,"[[0, 1], [1, 0], [1, 1]]",DTW_adaptiveWeight2,146658,248958,27668,0.0,0.0,0.0,0.0
76,1.26,"[[0, 1], [1, 0], [1, 1]]",DTW_adaptiveWeight2,190521,247593,29033,0.0,0.0,0.0,0.0
77,1.26,"[[1, 1], [1, 2], [2, 1]]",DTW2,119414,14356,71428,0.0,0.0,0.0,0.0
78,1.587,"[[0, 1], [1, 0], [1, 1]]",DTW3,146672,248972,27654,0.0,0.0,0.0,0.0
79,2.521,"[[0, 1], [1, 0], [1, 1]]",DTW3,111937,322239,26383,0.0,0.0,0.0,0.0
80,1.26,"[[0, 1], [1, 0], [1, 1]]",DTW_selectiveTransitions3,89788,146860,129766,0.0,0.0,0.0,0.0
81,1.0,"[[1, 1], [1, 2], [2, 1]]",DTW1_downsampleInterpolate,22709,65615,65615,0.0,0.0,0.0,0.0
82,1.0,"[[1, 1], [1, 2], [2, 1]]",DTW2,126086,31155,31158,0.0,0.0,0.0,0.0
83,1.587,"[[1, 1], [1, 2], [2, 1]]",DTW1_upsampleQuantized,23978,84216,84216,0.0,0.0,0.0,0.0
84,2.521,"[[1, 1], [1, 2], [2, 1], [1, 3], [3, 1], [1, 4], [4, 1]]",DTW1_add4,10292,3431,7379,2546.0,9396.0,6507.0,70725.0
85,2.0,"[[0, 1], [1, 0], [1, 1]]",DTW_selectiveTransitions4,63016,237312,111310,0.0,0.0,0.0,0.0
86,1.0,"[[0, 1], [1, 0], [1, 1]]",DTW_selectiveTransitions2,70475,70478,149079,0.0,0.0,0.0,0.0
87,1.0,"[[0, 1], [1, 0], [1, 1]]",DTW_adaptiveWeight2,191709,191712,27845,0.0,0.0,0.0,0.0
