algorithm,load_chroma,downsample_adaptive,compute_cost,accum_steps,get_path,upsample,output
DTW1,0.004542112350463867,1.5735626220703125e-05,2.3874399662017822,6.999997138977051,0.009000062942504883,5.245208740234375e-06,0.0018434524536132812
DTW1,0.004793643951416016,3.337860107421875e-06,1.1955769062042236,7.813002347946167,0.0020825862884521484,3.337860107421875e-06,0.0009064674377441406
DTW1,0.003044605255126953,3.814697265625e-06,0.8142580986022949,7.266576290130615,0.002210378646850586,5.7220458984375e-06,0.0010972023010253906
DTW1,0.0036017894744873047,1.239776611328125e-05,0.4335479736328125,7.722659111022949,0.002241849899291992,3.0994415283203125e-06,0.001317739486694336
DTW1,0.0026099681854248047,7.3909759521484375e-06,2.265758514404297,7.244337558746338,0.01001286506652832,6.198883056640625e-06,0.002205371856689453
DTW1,0.004350185394287109,2.384185791015625e-06,1.032358169555664,10.069154977798462,0.004568338394165039,4.5299530029296875e-06,0.0013000965118408203
DTW1,0.0047037601470947266,5.7220458984375e-06,1.440648078918457,9.902772903442383,0.027558088302612305,4.5299530029296875e-06,0.0008533000946044922
DTW1,0.002613544464111328,2.86102294921875e-06,0.7752780914306641,8.193979024887085,0.002270221710205078,2.384185791015625e-06,0.0008137226104736328
DTW1,0.005040407180786133,9.5367431640625e-06,2.477747678756714,10.172234773635864,0.0072138309478759766,3.5762786865234375e-06,0.0013375282287597656
DTW1,0.002512693405151367,8.106231689453125e-06,1.0030734539031982,8.510915517807007,0.0030066967010498047,4.0531158447265625e-06,0.0009307861328125
DTW1,0.015450000762939453,4.291534423828125e-06,0.9153039455413818,7.676211357116699,0.0020940303802490234,2.86102294921875e-06,0.000762939453125
DTW1,0.002645254135131836,3.337860107421875e-06,0.5161771774291992,6.24077582359314,0.006575345993041992,4.76837158203125e-06,0.0007765293121337891
DTW1,0.005739450454711914,2.4557113647460938e-05,2.296574115753174,7.919347286224365,0.025472640991210938,3.814697265625e-06,0.0010313987731933594
DTW1,0.0031774044036865234,1.0728836059570312e-05,0.5703480243682861,7.356876373291016,0.0022208690643310547,4.291534423828125e-06,0.0007612705230712891
DTW1,0.002496480941772461,4.0531158447265625e-06,0.42536067962646484,6.704007863998413,0.005046844482421875,3.337860107421875e-06,0.001132965087890625
DTW1,0.0035858154296875,4.291534423828125e-06,0.8170266151428223,8.388260841369629,0.0028526782989501953,4.291534423828125e-06,0.0009305477142333984
DTW1,0.005979299545288086,1.3828277587890625e-05,2.059748649597168,9.332199811935425,0.005652189254760742,5.7220458984375e-06,0.0013418197631835938
DTW1,0.004221200942993164,5.4836273193359375e-06,1.7732768058776855,9.469321250915527,0.0031452178955078125,3.814697265625e-06,0.0010678768157958984
DTW1,0.003893613815307617,5.0067901611328125e-06,0.931180477142334,8.979948043823242,0.0028467178344726562,2.86102294921875e-06,0.0008766651153564453
DTW1,0.002310514450073242,2.1457672119140625e-06,0.8748493194580078,9.235841512680054,0.0022301673889160156,3.0994415283203125e-06,0.0007605552673339844
DTW1,0.006158113479614258,1.430511474609375e-05,2.0369107723236084,7.7155632972717285,0.0004591941833496094,2.384185791015625e-06,0.001125335693359375
DTW1,0.06627321243286133,4.0531158447265625e-06,1.1030113697052002,8.369680166244507,0.0005772113800048828,3.5762786865234375e-06,0.0006561279296875
DTW1,0.0037543773651123047,5.245208740234375e-06,0.6227512359619141,7.986114501953125,0.00029015541076660156,3.337860107421875e-06,0.0005755424499511719
DTW1,0.013404607772827148,3.337860107421875e-06,0.6998605728149414,7.898238182067871,0.0002624988555908203,1.430511474609375e-06,0.02481245994567871
DTW1,0.006427764892578125,1.33514404296875e-05,1.3107357025146484,7.466156721115112,0.00024890899658203125,2.384185791015625e-06,0.0005090236663818359
DTW1,0.02686619758605957,2.6226043701171875e-06,0.49605393409729004,7.825847387313843,0.00021505355834960938,1.6689300537109375e-06,0.0004551410675048828
DTW1,0.002910614013671875,2.86102294921875e-06,0.5763025283813477,8.016649007797241,0.00040984153747558594,3.0994415283203125e-06,0.0009846687316894531
DTW1,0.004704713821411133,5.0067901611328125e-06,0.9097859859466553,8.363653898239136,0.00022673606872558594,2.6226043701171875e-06,0.0004410743713378906
DTW1,0.0055005550384521484,9.5367431640625e-06,2.267002820968628,9.485731840133667,0.00024175643920898438,1.6689300537109375e-06,0.0005087852478027344
DTW1,0.0057413578033447266,4.5299530029296875e-06,0.8954660892486572,9.409927368164062,0.00041222572326660156,2.6226043701171875e-06,0.0006017684936523438
DTW1,0.0045621395111083984,5.0067901611328125e-06,0.9362494945526123,6.658890247344971,0.00012564659118652344,2.384185791015625e-06,0.0003693103790283203
DTW1,0.001771688461303711,2.384185791015625e-06,0.48270225524902344,6.4373204708099365,0.0003368854522705078,3.5762786865234375e-06,0.0006461143493652344
DTW1,0.0063054561614990234,1.3828277587890625e-05,1.5424206256866455,7.243742942810059,0.0003745555877685547,2.384185791015625e-06,0.000980377197265625
DTW1,0.014019250869750977,2.86102294921875e-06,0.9208924770355225,8.138948917388916,0.00055694580078125,2.1457672119140625e-06,0.0005774497985839844
DTW1,0.0029251575469970703,3.0994415283203125e-06,0.5968723297119141,8.526196956634521,0.00028896331787109375,3.5762786865234375e-06,0.0006644725799560547
DTW2,0.0030889511108398438,3.337860107421875e-06,0.7175817489624023,8.09329867362976,0.0027675628662109375,6.4373016357421875e-06,0.001211404800415039
DTW2,0.002670764923095703,6.198883056640625e-06,2.0409932136535645,7.243463754653931,0.006657123565673828,4.5299530029296875e-06,0.0016639232635498047
DTW2,0.004643678665161133,3.337860107421875e-06,0.708305835723877,7.569204568862915,0.004518985748291016,3.814697265625e-06,0.0009696483612060547
DTW2,0.004926919937133789,4.291534423828125e-06,0.746657133102417,7.5574049949646,0.0032405853271484375,5.9604644775390625e-06,0.0010504722595214844
DTW2,0.0029578208923339844,3.337860107421875e-06,0.5408129692077637,7.774912118911743,0.0033369064331054688,5.245208740234375e-06,0.0010690689086914062
DTW2,0.006224155426025391,1.239776611328125e-05,2.7462046146392822,9.635926008224487,0.007354021072387695,6.198883056640625e-06,0.002696514129638672
DTW2,0.030005931854248047,5.7220458984375e-06,1.1046411991119385,8.278452634811401,0.007936477661132812,4.5299530029296875e-06,0.0011587142944335938
DTW2,0.0032460689544677734,4.0531158447265625e-06,0.9858546257019043,8.63784146308899,0.023797988891601562,5.7220458984375e-06,0.0008361339569091797
DTW2,0.004663944244384766,1.6450881958007812e-05,0.7688641548156738,8.61946177482605,0.002322673797607422,3.337860107421875e-06,0.0007607936859130859
